,y,x,street_count,highway,ref
104804,51.4630034,-2.5848588,3,,
104805,51.4646665,-2.5820973,4,,
104806,51.4659995,-2.5806879,3,,
104808,51.4639194,-2.586081,4,,
104812,51.4639673,-2.580726,3,,
104813,51.4631058,-2.5790379,3,,
104814,51.4634456,-2.5796921,3,,
104815,51.4644609,-2.5783389,3,,
104816,51.4652198,-2.5780902,3,,
104818,51.4663421,-2.5774381,3,,
104819,51.4665247,-2.5797862,3,,
104826,51.4674177,-2.5789056,3,,
104829,51.461573,-2.5807185,3,,
104833,51.4643456,-2.5866486,3,,
104837,51.4617977,-2.5872167,3,,
104838,51.4610617,-2.5887285,4,,
104841,51.4659375,-2.5883027,3,,
104853,51.4556429,-2.590734,3,traffic_signals,
104854,51.4570684,-2.5858771,4,,
104855,51.4582949,-2.5867257,3,,
104858,51.4575365,-2.5899842,1,,
104859,51.4570874,-2.5914336,3,,
104873,51.4496526,-2.5759897,3,,
104874,51.4487882,-2.5754642,5,,
104881,51.4524379,-2.5743008,4,,
104884,51.4556375,-2.5791449,3,,
127064,51.4163657,-2.6174939,3,mini_roundabout,
127066,51.4208751,-2.6166327,3,,
127067,51.4253001,-2.6142367,3,,
127069,51.4292474,-2.6137376,3,traffic_signals,
127074,51.4331285,-2.6097659,3,,
127075,51.4334808,-2.6114323,3,,
127078,51.43222,-2.6062085,4,,
127080,51.4361919,-2.6115671,3,,
127081,51.4364793,-2.6121701,3,,
127083,51.4380062,-2.6147127,3,,
127086,51.4386342,-2.6121915,3,,
127151,51.4350764,-2.6006246,3,,
127152,51.4356264,-2.5988777,3,,
127155,51.4364151,-2.5908618,3,,
127157,51.4374565,-2.58431,4,mini_roundabout,
127158,51.4382481,-2.582862,3,,
127159,51.4390555,-2.5822554,4,,
127160,51.4400669,-2.582071,3,,
127161,51.4404825,-2.5819542,3,,
127745,51.4073384,-2.5586571,3,,
127746,51.4085137,-2.5586631,3,,
127748,51.4133272,-2.559713,3,,
127749,51.4168681,-2.5601848,3,,
127754,51.4276416,-2.5638595,4,,
127758,51.4343086,-2.5665476,3,,
127759,51.4372706,-2.5697248,3,,
127761,51.4301276,-2.556152,3,,
127762,51.4385743,-2.5722245,3,,
127764,51.4418478,-2.5780431,4,,
127767,51.4451581,-2.578828,3,,
127885,51.4382498,-2.6002556,3,,
127886,51.4379852,-2.5995255,4,,
216526,51.4306405,-2.5436434,3,,
216554,51.441948,-2.5607429,4,,
216558,51.4440536,-2.5610641,4,,
216566,51.454082,-2.5698025,4,,
216575,51.4460521,-2.5606799,3,,
216581,51.4581753,-2.5715506,3,,
216585,51.4582474,-2.5717448,3,,
216601,51.4564636,-2.5799366,4,,
343840,51.4144085,-2.5934447,3,,
343841,51.4147219,-2.5954336,3,,
343842,51.4138263,-2.5950185,3,,
343844,51.418543,-2.599909,4,,
343848,51.4260331,-2.5915562,3,,
343851,51.4151001,-2.5941737,3,,
343853,51.4137881,-2.5947228,3,,
343858,51.4263125,-2.5706473,3,,
343887,51.4341386,-2.6127649,3,,
343888,51.4348529,-2.6175825,3,,
343889,51.4341966,-2.6174929,3,,
343892,51.4344037,-2.6140031,3,,
343893,51.4332304,-2.6106703,3,,
1698354,51.4588042,-2.6221789,3,,
1698355,51.4589761,-2.6217546,3,,
1698357,51.4597966,-2.6222062,3,,
16916588,51.4674309,-2.5713039,3,,
16916591,51.4671297,-2.5694651,3,,
17014570,51.4593587,-2.5712805,3,,
17014571,51.4592053,-2.5703339,3,,
17014583,51.458208,-2.5704856,3,,
17014592,51.4591151,-2.5718059,3,,
17014599,51.4582916,-2.5701332,3,,
17014772,51.4586579,-2.5783271,3,,
17014781,51.4606654,-2.5770537,3,,
17014788,51.4628034,-2.5762531,3,,
17014790,51.4641584,-2.5742076,3,,
17014931,51.4563458,-2.5881075,3,,
17015041,51.4549401,-2.592994,3,,
17020015,51.4462175,-2.5601845,3,,
17020019,51.446587,-2.5604996,3,,
17020051,51.454852,-2.5699894,3,,
17020062,51.4447097,-2.5597242,3,,
17020072,51.4449938,-2.5592084,3,,
17020702,51.4573208,-2.5709403,4,,
17020705,51.4541435,-2.5696324,4,,
17020817,51.4686553,-2.5505044,3,,
17022370,51.447547,-2.5827863,3,,
17022376,51.4473665,-2.5816914,3,,
17022390,51.4474664,-2.5827418,4,crossing,
17022820,51.4454516,-2.5849537,3,,
17022841,51.445659,-2.5905977,3,,
17022883,51.4450317,-2.5844828,3,,
17023337,51.4456103,-2.5917046,3,,
17023361,51.4460253,-2.5912522,3,,
17028598,51.4487138,-2.5842323,3,,
17028644,51.4489485,-2.5865737,3,,
17028875,51.4489905,-2.5825152,3,,
17028989,51.4526395,-2.5890605,3,,
17029030,51.4541727,-2.585975,3,,
17029031,51.4536941,-2.587369,4,,
17029032,51.4531872,-2.5883229,3,,
17029066,51.4530837,-2.5908093,3,,
17029105,51.449212,-2.5901408,3,,
17029112,51.4490524,-2.5899258,3,,
17029114,51.4487962,-2.5900315,3,,
17029119,51.4487727,-2.5900815,3,,
17029134,51.4492122,-2.5904389,3,,
17029138,51.4489541,-2.5906487,3,,
17393670,51.4657764,-2.5760661,3,,
17393671,51.466225,-2.5758007,3,,
17393672,51.4662709,-2.5766228,3,,
17393674,51.4659389,-2.5744433,3,,
17393675,51.4658744,-2.5743927,3,,
17393677,51.4653244,-2.5747032,3,,
17393678,51.4652779,-2.5750264,3,,
17393681,51.4657325,-2.5760551,3,,
17393683,51.4662844,-2.5754166,3,,
17393759,51.4666497,-2.5744838,3,,
17393797,51.4665461,-2.5739165,3,,
17393858,51.4669788,-2.5738793,3,,
17393905,51.4686819,-2.5681483,3,motorway_junction,3
17393910,51.4678469,-2.5709629,3,,
17394170,51.4671262,-2.5740598,3,,
17394185,51.4680594,-2.571508,3,,
17394200,51.4679737,-2.5742664,3,,
17394201,51.4682391,-2.5745329,3,,
17394202,51.4684538,-2.5747357,3,,
17394343,51.463785,-2.5777684,3,motorway_junction,3
17394344,51.4634064,-2.5780041,3,,
17394360,51.4647487,-2.576955,3,,
17396565,51.4589156,-2.5626975,3,,
17396567,51.4578902,-2.5623818,3,,
17396650,51.4576861,-2.5761634,3,,
17396651,51.4595295,-2.5757696,3,,
17396652,51.4598753,-2.5752205,3,,
17396677,51.4567949,-2.5787811,4,,
17396682,51.4574095,-2.580242,3,,
17396773,51.4631706,-2.5696284,4,,
17398458,51.4644943,-2.5732851,3,,
17398525,51.4632604,-2.5709508,6,,
17398564,51.4641608,-2.5719912,3,,
17398567,51.4649774,-2.5731807,3,,
17404482,51.4531632,-2.5842128,3,motorway_junction,
17404485,51.4542113,-2.5852982,3,,
17404756,51.4571798,-2.5844304,3,motorway_junction,
17404757,51.45579,-2.5840669,3,,
17404762,51.4559054,-2.5834728,3,,
17404766,51.4553881,-2.5838766,3,,
17404773,51.4558712,-2.5833771,3,,
17404775,51.4555578,-2.5832263,3,,
17404779,51.4554036,-2.5839115,3,,
17404792,51.4545615,-2.5863298,3,,
17404794,51.4550412,-2.586792,3,,
17404798,51.4555004,-2.5851759,5,,
17404805,51.4554587,-2.5848611,3,,
17404814,51.4546531,-2.585363,3,,
17404839,51.4554804,-2.5832586,3,,
17404938,51.4542885,-2.5838348,3,,
17405099,51.455416,-2.5849958,4,crossing,
17405115,51.4564576,-2.585497,3,,
17405536,51.4533903,-2.583838,4,,
17406719,51.4537595,-2.592285,3,,
17406721,51.4535698,-2.5932886,4,traffic_signals,
17406744,51.4546853,-2.5926152,2,,
17406745,51.4548932,-2.5926651,3,,
17406787,51.457689,-2.5919337,3,,
17406822,51.4565938,-2.5882945,3,,
17408409,51.4490598,-2.5819155,3,,
17408667,51.4495271,-2.5968207,3,,
17408759,51.4516509,-2.5927111,3,,
17408766,51.450381,-2.5927652,3,,
17476810,51.4602485,-2.5829821,3,,
17476811,51.4601204,-2.5824922,3,,
17476815,51.4597034,-2.5834552,3,,
17476816,51.4597824,-2.5840903,4,,
17476817,51.4594665,-2.5844447,3,,
17476820,51.45852,-2.5837298,4,,
17476821,51.458394,-2.5838056,4,traffic_signals,
17476831,51.4602364,-2.5823311,4,,
17476836,51.4608523,-2.5815743,3,,
17476842,51.4578227,-2.5844669,3,,
17476871,51.458379,-2.5840305,4,traffic_signals,
17476874,51.4590873,-2.5838576,3,,
17476875,51.4596178,-2.58406,4,crossing,
17486534,51.4552638,-2.5964974,4,,
17486537,51.4544241,-2.5968483,4,,
17486550,51.4543702,-2.5973574,3,,
17486553,51.4529361,-2.5978856,3,,
17486554,51.4523083,-2.5987135,3,,
17486555,51.4523627,-2.5993257,3,,
17487066,51.4507039,-2.6074577,4,,
17487067,51.4505911,-2.6078277,3,,
17487069,51.4507722,-2.6080926,3,traffic_signals,
17565122,51.4588906,-2.5699631,3,,
17565125,51.463061,-2.5710721,6,,
17565126,51.464055,-2.5715983,3,,
17565128,51.4635566,-2.5706789,5,,
17565130,51.4627768,-2.5713883,4,,
17565134,51.4611615,-2.573517,3,,
17565136,51.4603205,-2.5746537,3,,
17565430,51.4524688,-2.587334,3,,
17565433,51.4517706,-2.5876119,3,,
17565434,51.4407161,-2.5812699,3,,
17565437,51.4416142,-2.5787953,3,,
17565445,51.432047,-2.578492,3,,
17565516,51.4324657,-2.5745233,4,,
17565519,51.4327458,-2.5720487,3,,
17565520,51.4329338,-2.5708956,3,,
17565523,51.4334577,-2.5687208,3,,
17565524,51.4339334,-2.5672446,3,,
17565571,51.4337307,-2.5785248,3,,
17565572,51.4343107,-2.5789423,3,,
17565575,51.435917,-2.5810953,3,,
17565579,51.4370831,-2.5839198,3,,
17565803,51.4639254,-2.5703299,3,,
17565805,51.4651266,-2.5696854,3,,
17565810,51.4670314,-2.5683325,4,,
17565813,51.4678941,-2.5672449,3,,
17565814,51.4683182,-2.5665888,3,,
