,y,x,street_count,highway,ref
21578144,-37.8257788,144.9368424,3,,
26034526,-37.8143982,144.9547093,4,,
26034533,-37.8139532,144.9603165,4,traffic_signals,
26034534,-37.814661,144.9578571,4,traffic_signals,
26034544,-37.8166411,144.9587215,4,,
26034576,-37.8056297,144.9507334,4,,
26034577,-37.8065107,144.9512027,3,,
26034627,-37.8072469,144.9534385,4,,
26034662,-37.8098683,144.9666843,4,traffic_signals,
26034663,-37.8091572,144.9691182,4,traffic_signals,
26034664,-37.8084183,144.9716133,4,,
26034668,-37.8093421,144.9720466,4,,
26034669,-37.8108078,144.9671114,4,,
26034670,-37.8100861,144.9695403,4,,
26034671,-37.8103791,144.9725428,4,,
26034672,-37.8111318,144.9700291,4,traffic_signals,
26034673,-37.8118486,144.9675849,4,traffic_signals,
26051948,-37.8150464,144.9718458,4,traffic_signals,
26051949,-37.815766,144.9693868,4,,
26051950,-37.8130912,144.9709361,4,traffic_signals,
26051952,-37.8138092,144.968476,4,traffic_signals,
26476632,-37.8235275,144.9308515,3,motorway_junction,2A/2B
26476659,-37.8244946,144.9306697,3,motorway_junction,1E/1W
26680057,-37.8109934,144.939597,3,,
26680059,-37.8115894,144.9407833,3,,
30220442,-37.8043201,144.9421534,4,,
30220444,-37.8072513,144.9689086,4,,
30220684,-37.8090445,144.9856317,6,,
30220693,-37.7937112,144.98518,4,,
30220696,-37.7940591,144.985124,4,traffic_signals,
30220699,-37.7906522,144.9858288,4,crossing,
30240836,-37.8015308,144.9575289,3,,
30286983,-37.8092764,144.9319488,4,,
30286987,-37.8095985,144.9345653,3,,
30287221,-37.7932149,144.9656998,3,,
30287226,-37.792525,144.9680972,3,,
30287236,-37.79337,144.9652479,3,,
30287315,-37.8007831,144.9670003,4,traffic_signals,
30287316,-37.8028938,144.9666338,4,,
30287324,-37.8070773,144.9672788,4,,
30287325,-37.8070938,144.9674392,4,,
30287383,-37.8049958,144.9676387,4,,
30287386,-37.8028681,144.967985,3,,
30287388,-37.7961971,144.9691437,4,,
30287400,-37.7962149,144.9693027,4,,
30287401,-37.8029034,144.968188,3,,
30287404,-37.8073976,144.9672704,3,,
30287405,-37.8027729,144.9666549,4,,
30287406,-37.8031905,144.9695871,3,,
30287410,-37.80307,144.9681468,3,,
30287411,-37.8030567,144.9679582,3,,
30287414,-37.803095,144.9696036,3,,
30287457,-37.7999858,144.9746427,3,,
30287458,-37.8001943,144.9765776,3,,
30287459,-37.8003613,144.978131,3,,
30287460,-37.8005661,144.9765117,3,,
30287462,-37.8014117,144.9761818,3,,
30287463,-37.7934516,144.9793017,4,,
30287464,-37.8057435,144.9772178,4,traffic_signals,
30287465,-37.8081175,144.9768623,4,,
30287469,-37.7998088,144.9782231,4,,
30287470,-37.801226,144.9838843,3,,
30287471,-37.8006202,144.9780854,3,,
30287473,-37.7967357,144.9787445,4,,
