,y,x,street_count,highway,ref
21105616,48.4009475,9.9938766,3,,
21105635,48.4003174,9.9937453,4,,
21105650,48.4000685,9.989393,3,,
21105654,48.3998944,9.9850859,4,,
21105660,48.4006315,9.9876038,5,,
21492966,48.3976122,9.9966816,3,,
26731950,48.4023962,9.9965921,4,,
26731954,48.4021434,9.9937769,4,,
26731963,48.4016382,9.9897334,4,,
26731992,48.4002855,9.9847037,3,,
26870382,48.4011068,9.9873436,4,,
26870383,48.4006019,9.9856057,3,,
26870393,48.4010401,9.9860452,3,,
26890428,48.3989843,9.9850327,3,,
26890445,48.4010224,9.9892999,4,,
26890450,48.4006396,9.9910225,3,,
27152732,48.4012011,9.989928,3,,
27152735,48.4004865,9.9897059,3,,
27152737,48.4015205,9.9897951,4,,
27152742,48.4017146,9.9911808,4,,
27152750,48.4009646,9.9874972,4,,
27152753,48.4006723,9.9864051,3,,
27152757,48.4001816,9.9848235,5,,
27152774,48.3971185,9.9849913,3,,
27152781,48.4000921,9.991,4,,
27152784,48.4014082,9.9939084,4,,
27152787,48.4005466,9.9937829,3,,
27152790,48.4005436,9.9931889,2,,
27152793,48.4006092,9.9927612,3,,
27152799,48.3999326,9.9936806,3,,
27152801,48.3999029,9.9946032,3,,
27152803,48.3990766,9.9936691,4,,
27152806,48.3990857,9.9944885,3,,
27152809,48.3994985,9.9936418,3,,
27276934,48.4009369,9.9833721,4,,
27348680,48.4019723,9.9924278,3,,
28831619,48.3970617,9.9813403,5,,
28831620,48.3974319,9.9813185,3,,
28831646,48.3981523,9.9812944,3,,
28831652,48.3989215,9.9812418,3,,
28831656,48.4000863,9.9811686,3,,
28831658,48.4013444,9.9811037,3,,
28831664,48.4017799,9.9810812,3,,
28831665,48.4020538,9.9810405,3,,
28831666,48.4023253,9.9810017,3,,
29206627,48.4018416,9.991158,4,,
29206628,48.4022123,9.9950777,3,,
29206629,48.4029978,9.9908349,5,,
29206630,48.4024091,9.9910204,3,,
29206632,48.4025909,9.9892189,5,,
29206635,48.4018993,9.9887859,3,,
29206637,48.4017249,9.9881525,2,,
29206645,48.4027276,9.9877916,4,,
29206670,48.4026127,9.9936399,3,,
29206671,48.4027738,9.9948679,3,turning_circle,
29222916,48.3981476,9.9850008,1,,
29222918,48.3981864,9.9861978,3,,
29222920,48.398029,9.9857417,3,,
29222921,48.3977235,9.9860041,3,,
29222923,48.3972878,9.9871708,7,,
